Brand,Ram,Jenis_Storage,Storages,Processor,Operating_System,ukuran_laptop,PriceGradeA,PriceGradeB,PriceGradeC
Lenovo,4GB,HDD,1TB,-,Windows 10,"13"" - 14''",3500000,2800000,2550000
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 7,"13"" - 14''",1500000,1200000,1000000
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 10,"13"" - 14''",1650000,1450000,1200000
Lenovo,2GB,HDD,500GB,Intel Core i3,windows 10,"13"" - 14''",1200000,950000,800000
Lenovo,2GB,HDD,500GB,-,Windows 10,"13"" - 14''",1600000,1300000,1000000
Lenovo,2GB,SATA,500GB,Intel Core i3,Windows 10,"13"" - 14''",1000000,800000,600000
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 10,"13"" - 14''",1550000,1250000,950000
Lenovo,8GB,SSD,256GB,Intel Core i3,Windows 10,"13"" - 14''",2500000,2200000,2000000
Lenovo,2GB,SATA,500GB,Intel HM70,Windows 10,"13"" - 14''",1150000,900000,700000
Lenovo,4GB,HDD,320GB,Intel Core i7,Windows 10,"13"" - 14''",1500000,1200000,1000000
Lenovo,4GB,SATA,320GB,Intel Core i3,Windows 7,"13"" - 14''",1350000,1050000,850000
Lenovo,4GB,HDD,500GB,-,Windows 10,"13"" - 14''",2600000,2100000,1650000
Lenovo,4GB,-,250GB,Intel Core i5,Windows 10,"10"" - 12""",1400000,1200000,1000000
Acer,4GB,HDD,256GB,-,Windows 10,"13"" - 14''",2500000,2000000,1600000
Acer,4GB,-,1TB,Intel Core i3,Windows 10,"13"" - 14''",2800000,2250000,1800000
Acer,2GB,HDD,320GB,-,Windows 7,"10"" - 12""",800000,700000,550000
Acer,4GB,HDD,500GB,-,Windows 10,"13"" - 14''",1000000,800000,600000
Acer,4GB,HDD,500GB,-,Windows 10,"13"" - 14''",2000000,1700000,1500000
Acer,4GB,HDD,500GB,-,Windows 7,"13"" - 14''",1950000,1600000,1350000
Acer,2GB,-,500GB,-,Windows 7,"13"" - 14''",1600000,1300000,1000000
Acer,4GB,-,500GB,-,Windows 10,"13"" - 14''",1500000,1200000,1000000
Acer,4GB,HDD,500GB,Intel Core i3,Windows 10,"13"" - 14''",800000,600000,500000
Acer,4GB,HDD,500GB,-,Windows 10,"13"" - 14''",1400000,1150000,1000000
Acer,4GB,-,500GB,-,Windows 8,"13"" - 14''",800000,600000,400000
Acer,4GB,HDD,500GB,-,Windows 8,"13"" - 14''",1200000,1000000,700000
Acer,4GB,-,1TB,Intel Core i3,Windows 10,"13"" - 14''",2650000,2150000,1700000
Dell,4GB,-,500GB,-,Windows 10,"13"" - 14''",1250000,1100000,900000
Dell,4GB,-,500GB,-,Windows 10,"13"" - 14''",1200000,1050000,900000
Dell,8GB,-,240GB,Intel Core i5,Windows 10,"13"" - 14''",2000000,1800000,1600000
Dell,4GB,-,1TB,Intel Core i3,Windows 10,"13"" - 14''",4800000,4650000,4500000
Dell,8GB,-,500GB,Intel Core i5,Windows,"13"" - 14''",1800000,1600000,1400000
Dell,2GB,HDD,120GB,Intel Core i7,Windows,"13"" - 14''",3000000,2700000,2500000
Dell,8GB,-,256GB,-,Windows 10,"13"" - 14''",4900000,4750000,4600000
Dell,4GB,-,500GB,Intel Celeron 2957,Windows,"13"" - 14''",1450000,1300000,1150000
Dell,4GB,-,500GB,Intel Core i7,Windows,"13"" - 14''",1300000,1150000,10000000
Dell,4GB,-,500GB,Intel Core i5,Windows 10,"13"" - 14''",2850000,2600000,2400000
HP,4GB,-,1TB,-,Windows 10,"13"" - 14''",3500000,2800000,2250000
HP,4GB,HDD,320GB,-,Windows 10,"13"" - 14''",1000000,800000,600000
HP,4GB,HDD,320GB,-,Windows 10,"13"" - 14''",1000000,800000,600000
HP,4GB,HDD,320GB,-,Windows 10,"13"" - 14''",1150000,1000000,800000
HP,8GB,HDD,320GB,-,Windows 10,"13"" - 14''",1800000,1600000,1450000
HP,8GB,-,1TB,Intel Core i7,Windows 10,"13"" - 14''",2000000,1800000,1600000
HP,4GB,HDD,320GB,Intel Core i5,Windows 7,"13"" - 14''",1000000,800000,600000
HP,8GB,HDD,500GB,-,Windows 10,"10"" - 12""",2300000,2100000,1900000
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
