Brand,Ram,Jenis_Storage,Storages,Processor,Operating_System,,PriceGradeA,PriceGradeB,PriceGradeC
Acer,4GB,HDD,500GB,,Windows 10,,1.700.000,1.350.000,1.100.000
Acer,4GB,HDD,500GB,,Windows 10,,2.350.000,1.900.000,1.500.000
Acer,4GB,HDD,500GB,,Windows 7,,1.950.000,1.600.000,1.250.000
Acer,2GB,,500GB,,Windows 7,,1.600.000,1.300.000,1.000.000
Acer,4GB,,500GB,,Windows 10,,1.900.000,1.500.000,1.200.000
Acer,4GB,HDD,500GB,Intel Core i3,Windows 10,,2.100.000,1.700.000,1.350.000
Acer,4GB,HDD,500GB,,Windows 10,,1.850.000,1.450.000,1.200.000
Acer,4GB,,500GB,,Windows 8,,1.400.000,1.150.000,1.000.000
Acer,4GB,HDD,500GB,,Windows 8,,1.700.000,1.350.000,1.100.000
Acer,4GB,,1TB,Intel Core i3,Windows 10,,2.650.000,2.150.000,1.700.000
Dell,4GB,,500GB,,Windows 10,,1.400.000,1.250.000,1.100.000
Dell,4GB,,500GB,,Windows 10,,1.200.000,1.050.000,900.000
Dell,8GB,,240GB,Intel Core i5,Windows 10,,3.000.000,2.850.000,2.700.000
Dell,4GB,,1TB,Intel Core i3,Windows 10,,4.800.000,4.650.000,4.500.000
Dell,8GB,,500GB,Intel Core i5,Windows,,2.800.000,2.650.000,2.500.000
Dell,2GB,HDD,120GB,Intel Core i7,Windows,,6.400.000,6.250.000,6.100.000
Dell,8GB,,256GB,,Windows 10,,4.900.000,4.750.000,4.600.000
Dell,4GB,,500GB,Intel Celeron 2957,Windows,,1.450.000,1.300.000,1.150.000
Dell,4GB,,500GB,Intel Core i7,Windows,,1.300.000,1.150.000,1.000.000
Dell,4GB,,500GB,Intel Core i5,Windows 10,,3.000.000,2.850.000,2.700.000
HP,4GB,,1TB,,Windows 10,,3.500.000,2.800.000,2.250.000
HP,4GB,HDD,320GB,,Windows 10,,1.500.000,1.200.000,950.000
HP,4GB,HDD,320GB,,Windows 10,,1.950.000,1.550.000,1.250.000
HP,4GB,HDD,320GB,,Windows 10,,1.800.000,1.450.000,1.150.000
HP,8GB,HDD,320GB,,Windows 10,,2.250.000,1.800.000,1.450.000
HP,8GB,,1TB,Intel Core i7,Windows 10,,5.150.000,4.100.000,3.300.000
HP,4GB,HDD,320GB,Intel Core i5,Windows 7,,1.400.000,1.150.000,950.000
HP,8GB,HDD,500GB,,Windows 10,,3.200.000,2.850.000,2.300.000
